date_time,total,completed,complete_rate_%
2017-03-19,245,130,53.1
2017-03-26,340,159,46.800000000000004
2017-04-02,5896,3176,53.900000000000006
2017-04-09,7427,3232,43.5
2017-04-16,4995,2380,47.599999999999994
2017-04-23,3202,1497,46.800000000000004
2017-04-30,1104,460,41.699999999999996
2017-05-07,1119,427,38.2
2017-05-14,1409,663,47.099999999999994
2017-05-21,1445,665,46.0
2017-05-28,1073,450,41.9
2017-06-04,1240,554,44.7
2017-06-11,1125,492,43.7
2017-06-18,1027,436,42.5
2017-06-25,407,181,44.5
