date_time,total_x,completed_x,complete_rate_%_x,total_y,completed_y,complete_rate_%_y
2017-03-19,295,156,52.900000000000006,245,130,53.1
2017-03-26,425,206,48.5,340,159,46.800000000000004
2017-04-02,7410,4260,57.49999999999999,5896,3176,53.900000000000006
2017-04-09,8504,3761,44.2,7427,3232,43.5
2017-04-16,6494,3293,50.7,4995,2380,47.599999999999994
2017-04-23,4081,2070,50.7,3202,1497,46.800000000000004
2017-04-30,1432,615,42.9,1104,460,41.699999999999996
2017-05-07,1542,659,42.699999999999996,1119,427,38.2
2017-05-14,1372,616,44.9,1409,663,47.099999999999994
2017-05-21,1186,506,42.699999999999996,1445,665,46.0
2017-05-28,889,384,43.2,1073,450,41.9
2017-06-04,1137,469,41.199999999999996,1240,554,44.7
2017-06-11,1040,422,40.6,1125,492,43.7
2017-06-18,847,348,41.099999999999994,1027,436,42.5
2017-06-25,327,142,43.4,407,181,44.5
